"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 14:33:53 GMT 2024","Sun Mar 31 14:33:53 GMT 2024","462","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 14:33:44 GMT 2024","Sun Mar 31 14:33:45 GMT 2024","1269","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 14:33:51 GMT 2024","Sun Mar 31 14:33:52 GMT 2024","1188","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 14:33:44 GMT 2024","Sun Mar 31 14:33:44 GMT 2024","407","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 14:33:50 GMT 2024","Sun Mar 31 14:33:50 GMT 2024","441","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 14:33:55 GMT 2024","Sun Mar 31 14:33:57 GMT 2024","1107","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 14:33:54 GMT 2024","Sun Mar 31 14:33:55 GMT 2024","721","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 14:33:53 GMT 2024","Sun Mar 31 14:33:53 GMT 2024","208","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 14:33:58 GMT 2024","Sun Mar 31 14:33:59 GMT 2024","1125","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 14:33:47 GMT 2024","Sun Mar 31 14:33:50 GMT 2024","2086","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 14:34:01 GMT 2024","Sun Mar 31 14:34:01 GMT 2024","168","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 14:34:00 GMT 2024","Sun Mar 31 14:34:01 GMT 2024","922","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 14:33:42 GMT 2024","Sun Mar 31 14:33:43 GMT 2024","1884","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 14:34:02 GMT 2024","Sun Mar 31 14:34:02 GMT 2024","671","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 14:34:01 GMT 2024","Sun Mar 31 14:34:02 GMT 2024","995","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 14:33:57 GMT 2024","Sun Mar 31 14:33:58 GMT 2024","1203","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 14:33:39 GMT 2024","Sun Mar 31 14:33:40 GMT 2024","948","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 14:33:53 GMT 2024","Sun Mar 31 14:33:54 GMT 2024","898","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 14:33:45 GMT 2024","Sun Mar 31 14:33:47 GMT 2024","1214","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 14:33:40 GMT 2024","Sun Mar 31 14:33:41 GMT 2024","877","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 14:33:57 GMT 2024","Sun Mar 31 14:33:57 GMT 2024","382","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 14:33:39 GMT 2024","Sun Mar 31 14:33:39 GMT 2024","202","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 14:33:50 GMT 2024","Sun Mar 31 14:33:51 GMT 2024","1248","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 14:33:38 GMT 2024","Sun Mar 31 14:33:39 GMT 2024","811","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
