"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 25 14:48:26 GMT 2024","Mon Mar 25 14:48:26 GMT 2024","39","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:48:38 GMT 2024","Mon Mar 25 14:48:38 GMT 2024","40","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:48:18 GMT 2024","Mon Mar 25 14:48:18 GMT 2024","36","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:48:41 GMT 2024","Mon Mar 25 14:48:42 GMT 2024","215","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:48:35 GMT 2024","Mon Mar 25 14:48:35 GMT 2024","40","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:48:19 GMT 2024","Mon Mar 25 14:48:19 GMT 2024","37","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:48:42 GMT 2024","Mon Mar 25 14:48:43 GMT 2024","1051","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:48:32 GMT 2024","Mon Mar 25 14:48:32 GMT 2024","36","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:48:31 GMT 2024","Mon Mar 25 14:48:31 GMT 2024","43","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:48:37 GMT 2024","Mon Mar 25 14:48:37 GMT 2024","36","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:48:25 GMT 2024","Mon Mar 25 14:48:25 GMT 2024","41","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:48:23 GMT 2024","Mon Mar 25 14:48:23 GMT 2024","33","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:48:33 GMT 2024","Mon Mar 25 14:48:33 GMT 2024","35","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:48:43 GMT 2024","Mon Mar 25 14:48:44 GMT 2024","1246","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:48:40 GMT 2024","Mon Mar 25 14:48:40 GMT 2024","44","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:48:20 GMT 2024","Mon Mar 25 14:48:20 GMT 2024","41","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:48:28 GMT 2024","Mon Mar 25 14:48:28 GMT 2024","34","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:48:36 GMT 2024","Mon Mar 25 14:48:36 GMT 2024","35","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:48:34 GMT 2024","Mon Mar 25 14:48:34 GMT 2024","41","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:48:27 GMT 2024","Mon Mar 25 14:48:27 GMT 2024","39","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:48:29 GMT 2024","Mon Mar 25 14:48:29 GMT 2024","41","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:48:40 GMT 2024","Mon Mar 25 14:48:41 GMT 2024","1368","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:48:24 GMT 2024","Mon Mar 25 14:48:24 GMT 2024","36","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:48:21 GMT 2024","Mon Mar 25 14:48:22 GMT 2024","42","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
