"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 15:00:47 GMT 2024","Sat Apr 20 15:00:47 GMT 2024","684","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 15:00:38 GMT 2024","Sat Apr 20 15:00:39 GMT 2024","935","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 15:00:34 GMT 2024","Sat Apr 20 15:00:35 GMT 2024","405","Safari Browser","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 15:00:27 GMT 2024","Sat Apr 20 15:00:29 GMT 2024","1782","Firefox Browser","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 15:00:30 GMT 2024","Sat Apr 20 15:00:31 GMT 2024","1222","Firefox Browser","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 15:00:26 GMT 2024","Sat Apr 20 15:00:26 GMT 2024","839","Chrome Browser","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 15:00:37 GMT 2024","Sat Apr 20 15:00:38 GMT 2024","533","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 15:00:24 GMT 2024","Sat Apr 20 15:00:24 GMT 2024","723","Chrome Browser","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 15:00:36 GMT 2024","Sat Apr 20 15:00:37 GMT 2024","1163","Safari Browser","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 15:00:41 GMT 2024","Sat Apr 20 15:00:42 GMT 2024","433","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 15:00:29 GMT 2024","Sat Apr 20 15:00:30 GMT 2024","1268","Firefox Browser","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 15:00:25 GMT 2024","Sat Apr 20 15:00:26 GMT 2024","997","Chrome Browser","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 15:00:45 GMT 2024","Sat Apr 20 15:00:45 GMT 2024","856","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 15:00:24 GMT 2024","Sat Apr 20 15:00:25 GMT 2024","206","Chrome Browser","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 15:00:29 GMT 2024","Sat Apr 20 15:00:29 GMT 2024","431","Firefox Browser","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 15:00:43 GMT 2024","Sat Apr 20 15:00:44 GMT 2024","1208","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 15:00:46 GMT 2024","Sat Apr 20 15:00:47 GMT 2024","928","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 15:00:38 GMT 2024","Sat Apr 20 15:00:38 GMT 2024","199","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 15:00:45 GMT 2024","Sat Apr 20 15:00:46 GMT 2024","174","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 15:00:32 GMT 2024","Sat Apr 20 15:00:34 GMT 2024","1898","Safari Browser","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 15:00:39 GMT 2024","Sat Apr 20 15:00:40 GMT 2024","735","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 15:00:42 GMT 2024","Sat Apr 20 15:00:43 GMT 2024","1221","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 15:00:40 GMT 2024","Sat Apr 20 15:00:41 GMT 2024","1090","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 15:00:35 GMT 2024","Sat Apr 20 15:00:36 GMT 2024","1321","Safari Browser","logout.spec.ts","Logout feature","","","Customer logout successfully",""
