"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 13:07:33 GMT 2024","Sun Mar 31 13:07:34 GMT 2024","1217","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 13:07:11 GMT 2024","Sun Mar 31 13:07:12 GMT 2024","454","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 13:07:37 GMT 2024","Sun Mar 31 13:07:38 GMT 2024","1011","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 13:07:29 GMT 2024","Sun Mar 31 13:07:30 GMT 2024","234","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 13:07:34 GMT 2024","Sun Mar 31 13:07:36 GMT 2024","1182","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 13:07:36 GMT 2024","Sun Mar 31 13:07:37 GMT 2024","1263","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 13:07:26 GMT 2024","Sun Mar 31 13:07:27 GMT 2024","1133","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 13:07:30 GMT 2024","Sun Mar 31 13:07:31 GMT 2024","976","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 13:07:32 GMT 2024","Sun Mar 31 13:07:33 GMT 2024","1065","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 13:07:08 GMT 2024","Sun Mar 31 13:07:09 GMT 2024","1069","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 13:07:09 GMT 2024","Sun Mar 31 13:07:11 GMT 2024","2042","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 13:07:31 GMT 2024","Sun Mar 31 13:07:31 GMT 2024","759","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 13:07:37 GMT 2024","Sun Mar 31 13:07:37 GMT 2024","213","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 13:07:12 GMT 2024","Sun Mar 31 13:07:13 GMT 2024","1320","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 13:07:06 GMT 2024","Sun Mar 31 13:07:07 GMT 2024","224","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 13:07:15 GMT 2024","Sun Mar 31 13:07:26 GMT 2024","10449","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 13:07:29 GMT 2024","Sun Mar 31 13:07:29 GMT 2024","544","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 13:07:33 GMT 2024","Sun Mar 31 13:07:33 GMT 2024","370","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 13:07:27 GMT 2024","Sun Mar 31 13:07:28 GMT 2024","1183","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 13:07:38 GMT 2024","Sun Mar 31 13:07:39 GMT 2024","1033","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sun Mar 31 13:07:07 GMT 2024","Sun Mar 31 13:07:08 GMT 2024","1032","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sun Mar 31 13:07:26 GMT 2024","Sun Mar 31 13:07:26 GMT 2024","501","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sun Mar 31 13:07:05 GMT 2024","Sun Mar 31 13:07:06 GMT 2024","1003","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sun Mar 31 13:07:13 GMT 2024","Sun Mar 31 13:07:14 GMT 2024","1295","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
