"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 09:05:25 GMT 2024","Sat Apr 20 09:05:27 GMT 2024","1282","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:05:37 GMT 2024","Sat Apr 20 09:05:38 GMT 2024","1100","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:05:40 GMT 2024","Sat Apr 20 09:05:41 GMT 2024","1115","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:05:36 GMT 2024","Sat Apr 20 09:05:37 GMT 2024","722","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:05:42 GMT 2024","Sat Apr 20 09:05:43 GMT 2024","183","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:05:32 GMT 2024","Sat Apr 20 09:05:33 GMT 2024","1277","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:05:25 GMT 2024","Sat Apr 20 09:05:25 GMT 2024","414","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:05:33 GMT 2024","Sat Apr 20 09:05:34 GMT 2024","1194","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:05:31 GMT 2024","Sat Apr 20 09:05:32 GMT 2024","472","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:05:35 GMT 2024","Sat Apr 20 09:05:36 GMT 2024","927","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:05:29 GMT 2024","Sat Apr 20 09:05:31 GMT 2024","2488","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:05:21 GMT 2024","Sat Apr 20 09:05:21 GMT 2024","209","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:05:22 GMT 2024","Sat Apr 20 09:05:23 GMT 2024","772","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:05:21 GMT 2024","Sat Apr 20 09:05:22 GMT 2024","1025","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:05:20 GMT 2024","Sat Apr 20 09:05:21 GMT 2024","770","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:05:44 GMT 2024","Sat Apr 20 09:05:44 GMT 2024","652","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:05:43 GMT 2024","Sat Apr 20 09:05:44 GMT 2024","980","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:05:42 GMT 2024","Sat Apr 20 09:05:42 GMT 2024","824","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:05:23 GMT 2024","Sat Apr 20 09:05:25 GMT 2024","1852","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:05:27 GMT 2024","Sat Apr 20 09:05:28 GMT 2024","1279","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:05:35 GMT 2024","Sat Apr 20 09:05:35 GMT 2024","532","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:05:38 GMT 2024","Sat Apr 20 09:05:39 GMT 2024","347","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:05:35 GMT 2024","Sat Apr 20 09:05:35 GMT 2024","206","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:05:39 GMT 2024","Sat Apr 20 09:05:40 GMT 2024","1242","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
