"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 25 14:40:51 GMT 2024","Mon Mar 25 14:40:52 GMT 2024","32","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:40:53 GMT 2024","Mon Mar 25 14:40:53 GMT 2024","41","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:41:11 GMT 2024","Mon Mar 25 14:41:13 GMT 2024","1439","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:40:56 GMT 2024","Mon Mar 25 14:40:56 GMT 2024","34","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:41:03 GMT 2024","Mon Mar 25 14:41:03 GMT 2024","32","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:40:55 GMT 2024","Mon Mar 25 14:40:55 GMT 2024","32","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:41:08 GMT 2024","Mon Mar 25 14:41:08 GMT 2024","32","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:41:13 GMT 2024","Mon Mar 25 14:41:14 GMT 2024","1028","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:41:06 GMT 2024","Mon Mar 25 14:41:07 GMT 2024","40","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:41:14 GMT 2024","Mon Mar 25 14:41:15 GMT 2024","1226","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:41:13 GMT 2024","Mon Mar 25 14:41:13 GMT 2024","201","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:41:04 GMT 2024","Mon Mar 25 14:41:04 GMT 2024","38","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:41:05 GMT 2024","Mon Mar 25 14:41:05 GMT 2024","37","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:40:54 GMT 2024","Mon Mar 25 14:40:54 GMT 2024","43","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:40:58 GMT 2024","Mon Mar 25 14:40:58 GMT 2024","40","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:41:10 GMT 2024","Mon Mar 25 14:41:10 GMT 2024","48","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:41:01 GMT 2024","Mon Mar 25 14:41:01 GMT 2024","37","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:41:09 GMT 2024","Mon Mar 25 14:41:09 GMT 2024","35","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:40:59 GMT 2024","Mon Mar 25 14:40:59 GMT 2024","35","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:41:11 GMT 2024","Mon Mar 25 14:41:11 GMT 2024","42","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:41:02 GMT 2024","Mon Mar 25 14:41:02 GMT 2024","40","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:40:50 GMT 2024","Mon Mar 25 14:40:50 GMT 2024","33","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:41:00 GMT 2024","Mon Mar 25 14:41:00 GMT 2024","34","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:40:57 GMT 2024","Mon Mar 25 14:40:57 GMT 2024","40","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
