"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 25 14:40:25 GMT 2024","Mon Mar 25 14:40:26 GMT 2024","802","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:40:50 GMT 2024","Mon Mar 25 14:40:51 GMT 2024","933","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:40:50 GMT 2024","Mon Mar 25 14:40:50 GMT 2024","180","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:40:46 GMT 2024","Mon Mar 25 14:40:47 GMT 2024","1230","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:40:26 GMT 2024","Mon Mar 25 14:40:26 GMT 2024","213","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:40:39 GMT 2024","Mon Mar 25 14:40:39 GMT 2024","378","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:40:45 GMT 2024","Mon Mar 25 14:40:46 GMT 2024","1050","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:40:32 GMT 2024","Mon Mar 25 14:40:33 GMT 2024","1206","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:40:39 GMT 2024","Mon Mar 25 14:40:40 GMT 2024","1296","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:40:46 GMT 2024","Mon Mar 25 14:40:46 GMT 2024","369","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:40:26 GMT 2024","Mon Mar 25 14:40:27 GMT 2024","962","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:40:34 GMT 2024","Mon Mar 25 14:40:39 GMT 2024","4545","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:40:43 GMT 2024","Mon Mar 25 14:40:43 GMT 2024","197","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:40:27 GMT 2024","Mon Mar 25 14:40:28 GMT 2024","908","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:40:40 GMT 2024","Mon Mar 25 14:40:42 GMT 2024","1157","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:40:47 GMT 2024","Mon Mar 25 14:40:49 GMT 2024","1220","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:40:49 GMT 2024","Mon Mar 25 14:40:50 GMT 2024","763","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:40:31 GMT 2024","Mon Mar 25 14:40:32 GMT 2024","1285","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:40:43 GMT 2024","Mon Mar 25 14:40:44 GMT 2024","931","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:40:29 GMT 2024","Mon Mar 25 14:40:30 GMT 2024","1711","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:40:44 GMT 2024","Mon Mar 25 14:40:44 GMT 2024","735","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:40:51 GMT 2024","Mon Mar 25 14:40:52 GMT 2024","716","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:40:42 GMT 2024","Mon Mar 25 14:40:43 GMT 2024","533","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:40:30 GMT 2024","Mon Mar 25 14:40:31 GMT 2024","457","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
