"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 25 14:43:33 GMT 2024","Mon Mar 25 14:43:33 GMT 2024","419","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:43:56 GMT 2024","Mon Mar 25 14:43:56 GMT 2024","369","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:43:56 GMT 2024","Mon Mar 25 14:44:03 GMT 2024","6509","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:43:42 GMT 2024","Mon Mar 25 14:43:42 GMT 2024","367","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:43:29 GMT 2024","Mon Mar 25 14:43:30 GMT 2024","816","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:43:45 GMT 2024","Mon Mar 25 14:43:46 GMT 2024","929","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"failed","Mon Mar 25 14:43:51 GMT 2024","Mon Mar 25 14:43:52 GMT 2024","730","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:44:04 GMT 2024","Mon Mar 25 14:44:05 GMT 2024","707","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:43:38 GMT 2024","Mon Mar 25 14:43:38 GMT 2024","372","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:43:33 GMT 2024","Mon Mar 25 14:43:34 GMT 2024","1250","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:43:46 GMT 2024","Mon Mar 25 14:43:47 GMT 2024","703","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"failed","Mon Mar 25 14:43:40 GMT 2024","Mon Mar 25 14:43:40 GMT 2024","377","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:43:28 GMT 2024","Mon Mar 25 14:43:28 GMT 2024","638","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:43:29 GMT 2024","Mon Mar 25 14:43:29 GMT 2024","965","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:43:31 GMT 2024","Mon Mar 25 14:43:33 GMT 2024","1988","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:43:45 GMT 2024","Mon Mar 25 14:43:45 GMT 2024","198","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Mar 25 14:43:34 GMT 2024","Mon Mar 25 14:43:36 GMT 2024","1177","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:44:03 GMT 2024","Mon Mar 25 14:44:04 GMT 2024","996","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Mar 25 14:43:28 GMT 2024","Mon Mar 25 14:43:29 GMT 2024","201","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:43:44 GMT 2024","Mon Mar 25 14:43:44 GMT 2024","384","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Mar 25 14:43:45 GMT 2024","Mon Mar 25 14:43:45 GMT 2024","535","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"failed","Mon Mar 25 14:43:49 GMT 2024","Mon Mar 25 14:43:49 GMT 2024","371","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Mar 25 14:44:03 GMT 2024","Mon Mar 25 14:44:03 GMT 2024","190","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"failed","Mon Mar 25 14:43:53 GMT 2024","Mon Mar 25 14:43:54 GMT 2024","369","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
