"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 13:58:16 GMT 2023","Tue Dec 19 13:58:17 GMT 2023","1077","firefox","view-cart.spec.ts","View cart feature","","","Customer remove products to buy in there cart",""
"passed","Tue Dec 19 13:58:19 GMT 2023","Tue Dec 19 13:58:21 GMT 2023","2011","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Tue Dec 19 13:58:25 GMT 2023","Tue Dec 19 13:58:26 GMT 2023","1207","webkit","view-cart.spec.ts","View cart feature","","","Customer remove products to buy in there cart",""
"passed","Tue Dec 19 13:58:26 GMT 2023","Tue Dec 19 13:58:27 GMT 2023","1172","webkit","view-cart.spec.ts","View cart feature","","","Customer continue to buy more item",""
"passed","Tue Dec 19 13:58:17 GMT 2023","Tue Dec 19 13:58:18 GMT 2023","1106","firefox","view-cart.spec.ts","View cart feature","","","Customer continue to buy more item",""
"passed","Tue Dec 19 13:58:08 GMT 2023","Tue Dec 19 13:58:10 GMT 2023","1267","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Tue Dec 19 13:58:04 GMT 2023","Tue Dec 19 13:58:05 GMT 2023","718","chromium","view-cart.spec.ts","View cart feature","","","Customer remove products to buy in there cart",""
"passed","Tue Dec 19 13:58:04 GMT 2023","Tue Dec 19 13:58:04 GMT 2023","596","chromium","view-cart.spec.ts","View cart feature","","","Customer view there card after select products to purchase",""
"passed","Tue Dec 19 13:58:01 GMT 2023","Tue Dec 19 13:58:01 GMT 2023","192","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Tue Dec 19 13:58:22 GMT 2023","Tue Dec 19 13:58:24 GMT 2023","1242","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Tue Dec 19 13:58:05 GMT 2023","Tue Dec 19 13:58:06 GMT 2023","751","chromium","view-cart.spec.ts","View cart feature","","","Customer continue to buy more item",""
"passed","Tue Dec 19 13:58:01 GMT 2023","Tue Dec 19 13:58:02 GMT 2023","964","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Tue Dec 19 13:58:24 GMT 2023","Tue Dec 19 13:58:25 GMT 2023","982","webkit","view-cart.spec.ts","View cart feature","","","Customer view there card after select products to purchase",""
"passed","Tue Dec 19 13:58:02 GMT 2023","Tue Dec 19 13:58:04 GMT 2023","1444","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Tue Dec 19 13:58:10 GMT 2023","Tue Dec 19 13:58:11 GMT 2023","1519","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Tue Dec 19 13:58:06 GMT 2023","Tue Dec 19 13:58:08 GMT 2023","1751","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Tue Dec 19 13:58:13 GMT 2023","Tue Dec 19 13:58:16 GMT 2023","2656","firefox","view-cart.spec.ts","View cart feature","","","Customer view there card after select products to purchase",""
"passed","Tue Dec 19 13:58:21 GMT 2023","Tue Dec 19 13:58:21 GMT 2023","480","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Tue Dec 19 13:58:08 GMT 2023","Tue Dec 19 13:58:08 GMT 2023","463","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Tue Dec 19 13:58:21 GMT 2023","Tue Dec 19 13:58:22 GMT 2023","1308","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Tue Dec 19 13:58:00 GMT 2023","Tue Dec 19 13:58:01 GMT 2023","930","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
